cluster_id,n_propuestas,top_words
45,47,"isidro, san isidro, san, machado, maximiliano thous, maximiliano, thous, reurbanizacion, av, aceras, barrio san, ampliacion"
48,45,"contenedores, soterramiento, soterramiento contenedores, contenidors, soterrar, soterrar contenedores, soterrament, tierra, taules, ubicacion contenedores, soterrament contenidors, contenedores entorno"
11,45,"naves, puerto, calle, port, grao, calle mariano, mariano, poblats, marina, zona ajardinada, ajardinada, zona puerto"
36,45,"cultural, museo, espacio, artes, culturales, cultura, sala, dotacio, uso, casa cultura, palacio, centro"
19,42,"rehabilitacion, rehabilitacio, rehabilitacion alqueria, alqueria, alquerias, rehabilitacion alquerias, agua, casa, redaccio, projecte rehabilitacio, pouet, uso vecinal"
35,42,"asfalto, pavimento, asfaltar, asfalto fonoabsorbente, asfaltado, fonoabsorbente, asfaltado descampado, descampado, aceras, bernat descoll, descoll, bernat"
44,41,"repavimentacion calzada, calzada, repavimentacion, circuito, circulacion, vorera, agility, canino, running, grabador, sentido circulacion, aumentar"
2,37,"alimentacion, puntos, urbanas, refugio, casetas, abandonados, necesidades, creacio, contenedores, ciudad, bien, femenia"
30,36,"oliveral, castellar oliveral, castellar, olivereta, palmeras, tarongers, albalat tarongers, albalat, cp, naranjos, ciclo peatonal, ciclo"
8,34,"autobus, linea, linea autobus, autobuses, parada, bus, ronda, emt, ronda norte, norte, sociopolis, autobuses emt"
22,33,"accesibilidad, acceso, faitanar, mejorar accesibilidad, peatonal, mejorar, accesos, ceip, perellonet, rotonda, aceras, benimamet"
49,32,"contenedores, remodelacio plaça, portadors, portadors verge, verge, remodelacio, pinedo, losetas, pinedo remodelacio, farolas, sustituir, plaça"
10,31,"puente, puente san, pont, san jose, jose, real, sant josep, peatonalizacion, san, fusta, pont fusta, josep"
14,31,"trafico, pacificacion trafico, pacificacion, medidas, ayuntamiento, pacificar trafico, pacificar, valero, nou octubre, creacion mediana, reverendo jose, reverendo"
26,30,"pinedo, arbres, fins, mes, plantacio, junipero, junipero serra, serra, 10, il luminacio, luminacio, fray"
15,30,"policia, policia local, comisaria, local, acceso ceip, postes, construccio, orriols, barrio, dotacion, malilla, creacion"
6,29,"velocidad, places, poble nou, public, poble, antenas, public places, km, instal lacio, lacio, jardins, conexion"
20,29,"seguridad, camaras, vigilancia, vial, calle, jaume roig, proteger, guardia, guardia civil, roig, viaria, civil"
21,27,"futbol, campo futbol, campo, camp futbol, 11, camp, rio segre, segre, torrefiel, instalaciones camp, rio, instalaciones"
25,26,"verde, verdes, zonas verdes, zona verde, verd, zonas, zona, corredor, cabañal, mas, monteolivete, jeronimo monsoriu"
28,26,"juegos, ping, mesas, parque, pong, mesas ping, ping pong, deportivas, pistas, parques, trenor, pistas deportivas"
24,25,"velocidad, control, reduccion, velocitat, reducir, calles, 30, km, obrero, avenidas, calles barrio, badenes"
